3.991           2.00  			3.49718			0.07982			0.032			0.0803336
8.017           4.00  			7.03397			0.16034			0.034			0.160693
12.040          6.00  			10.5678			0.2408			0.036			0.241132
16.056          8.00  			14.0945			0.32112			0.038			0.321467
-18.930         -8.00  			-16.9778			-0.3786			0.022			0.378819
-14.215         -6.00  			-12.752			-0.2843			0.024			0.284506
-9.500          -4.00  			-8.52618			-0.19			0.026			0.190222
-4.777          -2.00  			-4.29239			-0.09554			0.028			0.0958947
-0.042          0.00  			-0.0466077			-0.00084			0.03			0.00823604
4.707           2.00  			4.21318			0.09414			0.032			0.0945758
9.427           4.00  			8.44397			0.18854			0.034			0.18884
14.170          6.00  			12.6978			0.2834			0.036			0.283682
18.888          8.00  			16.9265			0.37776			0.038			0.378055
-1.654          -8.00  			0.298245			-0.03308			0.022			0.0354941
-1.250          -6.00  			0.213032			-0.025			0.024			0.0272415
-0.845          -4.00  			0.128819			-0.0169			0.026			0.0192396
-0.442          -2.00  			0.0426055			-0.00884			0.028			0.0120846
-0.036          0.00			-0.0406077			-0.00072			0.03			0.00822467
0.369           2.00			-0.124821			0.00738			0.032			0.0116926
0.773           4.00			-0.210034			0.01546			0.034			0.0187692
1.177           6.00			-0.295248			0.02354			0.036			0.0267266
1.582           8.00			-0.379461			0.03164			0.038			0.0349868
-5.343          -8.00  			-3.39075			-0.10686			0.022			0.107632
-4.014          -6.00  			-2.55097			-0.08028			0.024			0.0810061
-2.688          -4.00  			-1.71418			-0.05376			0.026			0.0545407
-1.361          -2.00  			-0.876394			-0.02722			0.028			0.0284398
-0.034          0.00			-0.0386077			-0.00068			0.03			0.00822126
1.291           2.00			0.797179			0.02582			0.032			0.0273665
2.620           4.00			1.63697			0.0524			0.034			0.0534699
3.947           6.00			2.47475			0.07894			0.036			0.0799481
5.270           8.00			3.30854			0.1054			0.038			0.106453
-8.907          -8.00  			-6.95475			-0.17814			0.022			0.178604
-6.692          -6.00  			-5.22897			-0.13384			0.024			0.134277
-4.469          -4.00  			-3.49518			-0.08938			0.026			0.0898517
-2.251          -2.00  			-1.76639			-0.04502			0.028			0.0457678
-0.035          0.00			-0.0396077			-0.0007			0.03			0.00822294
2.188           2.00			1.69418			0.04376			0.032			0.0446899
4.410           4.00			3.42697			0.0882			0.034			0.0888398
6.630           6.00			5.15775			0.1326			0.036			0.133203
8.847           8.00			6.88554			0.17694			0.038			0.177569
-12.182         -8.00  			-10.2298			-0.24364			0.022			0.243979
-9.150          -6.00  			-7.68697			-0.183			0.024			0.18332
-6.113          -4.00  			-5.13918			-0.12226			0.026			0.122605
-3.069          -2.00  			-2.58439			-0.06138			0.028			0.0619306
-0.032          0.00			-0.0366077			-0.00064			0.03			0.00821805
3.004           2.00			2.51018			0.06008			0.032			0.0607607
6.031           4.00			5.04797			0.12062			0.034			0.121089
9.061           6.00			7.58875			0.18122			0.036			0.181661
12.095          8.00			10.1335			0.2419			0.038			0.24236
-14.764         -8.00  			-12.8118			-0.29528			0.022			0.29556
-11.085         -6.00  			-9.62197			-0.2217			0.024			0.221964
-7.399          -4.00  			-6.42518			-0.14798			0.026			0.148265
-3.716          -2.00  			-3.23139			-0.07432			0.028			0.0747754
-0.032          0.00  			-0.0366077			-0.00064			0.03			0.00821805
3.666           2.00  			3.17218			0.07332			0.032			0.0738788
7.356           4.00  			6.37297			0.14712			0.034			0.147504
11.047          6.00  			9.57475			0.22094			0.036			0.221302
14.743          8.00  			12.7815			0.29486			0.038			0.295238
